place_id,name,address,latitude,longitude,rating,review_count,primary_type,types,website,google_maps_url,search_query,price_numeric_imputed,price_tier_imputed,price_tier_numeric
ChIJVyaF4GpzhlQRDC3tH3bIWDA,Travessia Brazilian Kitchen,"Pick up at the back door (located in the alley, 1780 W 3rd Ave, Vancouver, BC V6J 1K4",49.2687123,-123.1451282,5.0,16.0,brazilian_restaurant,"brazilian_restaurant, restaurant, food, point_of_interest, establishment",https://www.travessia.ca/,https://maps.google.com/?cid=3483754721438412044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Downtown Vancouver BC,2.0,$$,2
ChIJNRH2qfZ3hlQRhlSQMclbb_Y,Gimme Coxinhas Bakery,"Within YVR Prep (back door, 5279 Still Creek Ave Unit A5, Burnaby, BC V5C 5V1",49.2611619,-122.9887462,5.0,9.0,brazilian_restaurant,"brazilian_restaurant, restaurant, food, point_of_interest, establishment",https://www.gimmebakery.com/,https://maps.google.com/?cid=17757512775423251590&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Brazilian restaurants in Richmond BC,2.0,$$,2
ChIJX2pb1jpxhlQRHIUJb9e0sBQ,Nami Vietnamese Oceanic,"1066 W Hastings St, Vancouver, BC V6E 3X2",49.2875863,-123.1190066,5.0,4.0,sandwich_shop,"sandwich_shop, restaurant, food, point_of_interest, establishment",https://namivietnamese.com/,https://maps.google.com/?cid=1490890314033497372&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Gastown BC,2.0,$$,2
ChIJVSY5FQBzhlQRfftdgAdf8t4,Miss Siam Thai Street Eats,"1800 W 1st Ave, Vancouver, BC V6J 4W2",49.2705777,-123.145796,5.0,3.0,thai_restaurant,"thai_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=16065007306607033213&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Thai restaurants in Kitsilano BC,2.0,$$,2
ChIJEfU6kidxhlQRY1ckQDtptaM,BokkiFresh - Premium B.Y.O Tteokbokki,"1370 E Georgia St, Vancouver, BC V5L 2A8",49.2783033,-123.0755742,5.0,3.0,korean_restaurant,"korean_restaurant, restaurant, food, point_of_interest, establishment",https://www.bokkifresh.com/,https://maps.google.com/?cid=11796450502166992739&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Commercial Drive BC,2.0,$$,2
ChIJ8eXBWedxhlQRGYZp8xggnQU,Maizhouse Mexican Kitchen,"1205 E Hastings St, Vancouver, BC V6A 1S4",49.2815908,-123.0789905,5.0,3.0,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=404514833068295705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mexican restaurants in North Vancouver BC,1.0,$,1
ChIJ6VQrGgBxhlQRqV9KyHo3bEM,Market Kitchen,"123 Carrie Cates Ct, North Vancouver, BC V7M 3K7",49.3103877,-123.0816847,5.0,1.0,caribbean_restaurant,"caribbean_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=4858319098511777705&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Downtown Vancouver BC,1.0,$,1
ChIJu3Mfj-FzhlQRiCekQBOe5QE,Galaxy Grill at Planet Bingo,"2655 Main St, Vancouver, BC V5T 3E5",49.2615311,-123.1016363,5.0,1.0,bar_and_grill,"bar_and_grill, bar, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=136689169230735240&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Mount Pleasant BC,2.0,$$,2
ChIJN2Udw2R1hlQR3tMg7EkkAKc,Songs KoreanBBQ,"8391 Alexandra Rd Unit 2160, Richmond, BC V6X 1C3",49.178588,-123.1298,5.0,1.0,korean_barbecue_restaurant,"korean_barbecue_restaurant, korean_restaurant, restaurant, food, point_of_interest, establishment",https://www.songskoreanbbq.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2871243503144307990,https://maps.google.com/?cid=12033658104246752222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Richmond BC,2.0,$$,2
ChIJLQwsNwB1hlQRWdVQDp0lTnI,Gyubee Japanese Grill (Vancouver),"8100 Ackroyd Rd #50, Richmond, BC V6X 3K2",49.1710948,-123.1360434,4.9,12870.0,japanese_restaurant,"japanese_restaurant, restaurant, food, point_of_interest, establishment",https://www.gyubeejapanesegrill.com/,https://maps.google.com/?cid=8236562124987487577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Richmond BC,2.0,$$,2
